,century,period,group,count
0,12,'0-'10,,
1,12,'10-'20,,
2,12,'20-'30,,
3,12,'30-'40,,
4,12,'40-'50,,
5,12,'50-'60,,
6,12,'60-'70,,
7,12,'70-'80,,
8,12,'80-'90,82.0,1.0
9,12,'90-'99,,
10,14,'0-'10,,
11,14,'10-'20,,
12,14,'20-'30,,
13,14,'30-'40,,
14,14,'40-'50,,
15,14,'50-'60,,
16,14,'60-'70,,
17,14,'70-'80,,
18,14,'80-'90,162.0,1.0
19,14,'90-'99,,
20,15,'0-'10,,
21,15,'10-'20,,
22,15,'20-'30,144.0,1.0
23,15,'30-'40,189.0,2.0
24,15,'40-'50,198.0,20.0
25,15,'50-'60,157.0,2.0
26,15,'60-'70,182.0,2.0
27,15,'70-'80,195.0,2.0
28,15,'80-'90,198.0,7.0
29,15,'90-'99,193.0,4.0
30,16,'0-'10,198.0,6.0
31,16,'10-'20,198.0,48.0
32,16,'20-'30,198.0,7.0
33,16,'30-'40,193.0,11.0
34,16,'40-'50,199.0,6.0
35,16,'50-'60,194.0,8.0
36,16,'60-'70,193.0,4.0
37,16,'70-'80,164.0,5.0
38,16,'80-'90,194.0,24.0
39,16,'90-'99,195.0,2.0
40,17,'0-'10,194.0,3.0
41,17,'10-'20,197.0,14.0
42,17,'20-'30,196.0,19.0
43,17,'30-'40,197.0,60.0
44,17,'40-'50,197.0,21.0
45,17,'50-'60,194.0,8.0
46,17,'60-'70,190.0,20.0
47,17,'70-'80,194.0,2.0
48,17,'80-'90,189.0,11.0
49,17,'90-'99,188.0,2.0
50,18,'0-'10,90.0,1.0
51,18,'10-'20,176.0,8.0
52,18,'20-'30,199.0,10.0
53,18,'30-'40,194.0,6.0
54,18,'40-'50,199.0,26.0
55,18,'50-'60,199.0,16.0
56,18,'60-'70,199.0,10.0
57,18,'70-'80,199.0,21.0
58,18,'80-'90,199.0,31.0
59,18,'90-'99,197.0,14.0
60,19,'0-'10,198.0,38.0
61,19,'10-'20,198.0,20.0
62,19,'20-'30,198.0,8.0
63,19,'30-'40,194.0,12.0
64,19,'40-'50,198.0,26.0
65,19,'50-'60,198.0,12.0
66,19,'60-'70,199.0,41.0
67,19,'70-'80,198.0,30.0
68,19,'80-'90,198.0,21.0
69,19,'90-'99,199.0,58.0
70,20,'0-'10,198.0,39.0
71,20,'10-'20,198.0,21.0
72,20,'20-'30,,
73,20,'30-'40,,
74,20,'40-'50,152.0,4.0
75,20,'50-'60,,
76,20,'60-'70,,
77,20,'70-'80,,
78,20,'80-'90,,
79,20,'90-'99,,
